#Zeit; y_1
0;0
0;0
0,01;0,000244174
0,02;0,000972127
0,03;0,002177033
0,04;0,003852109
0,05;0,005990613
0,06;0,008585844
0,07;0,011631144
0,08;0,015119895
0,09;0,019045523
0,1;0,023401497
0,11;0,028181326
0,12;0,033378563
0,13;0,038986803
0,14;0,044999686
0,15;0,051410892
0,16;0,058214146
0,17;0,065403215
0,18;0,07297191
0,19;0,080914087
0,2;0,089223642
0,21;0,097894517
0,22;0,106920697
0,23;0,116296211
0,24;0,126015132
0,25;0,136071575
0,26;0,146459701
0,27;0,157173715
0,28;0,168207864
0,29;0,179556441
0,3;0,191213782
0,31;0,203174267
0,32;0,215432321
0,33;0,227982412
0,34;0,240819054
0,35;0,253936802
0,36;0,267330258
0,37;0,280994067
0,38;0,294922918
0,39;0,309111544
0,4;0,323554723
0,41;0,338247276
0,42;0,353184068
0,43;0,368360008
0,44;0,383770051
0,45;0,399409193
0,46;0,415272476
0,47;0,431354983
0,48;0,447651845
0,49;0,464158233
0,5;0,480869363
0,51;0,497780495
0,52;0,514886932
0,53;0,53218402
0,54;0,549667148
0,55;0,567331751
0,56;0,585173305
0,57;0,603187327
0,58;0,621369381
0,59;0,639715072
0,6;0,658220048
0,61;0,676879999
0,62;0,695690658
0,63;0,714647801
0,64;0,733747246
0,65;0,752984853
0,66;0,772356524
0,67;0,791858203
0,68;0,811485877
0,69;0,831235573
0,7;0,851103361
0,71;0,871085351
0,72;0,891177695
0,73;0,911376587
0,74;0,931678262
0,75;0,952078993
0,76;0,972575098
0,77;0,993162933
0,78;1,013838894
0,79;1,034599419
0,8;1,055440986
0,81;1,07636011
0,82;1,097353351
0,83;1,118417303
0,84;1,139548603
0,85;1,160743927
0,86;1,18199999
0,87;1,203313543
0,88;1,22468138
0,89;1,246100332
0,9;1,267567267
0,91;1,289079094
0,92;1,310632757
0,93;1,332225239
0,94;1,353853562
0,95;1,375514784
0,96;1,397206001
0,97;1,418924345
0,98;1,440666986
0,99;1,462431131
1;1,484214022
1,01;1,506012939
1,02;1,527825197
1,03;1,549648147
1,04;1,571479176
1,05;1,593315706
1,06;1,615155196
1,07;1,636995138
1,08;1,65883306
1,09;1,680666524
1,1;1,702493127
1,11;1,724310501
1,12;1,74611631
1,13;1,767908254
1,14;1,789684065
1,15;1,81144151
1,16;1,833178387
1,17;1,85489253
1,18;1,876581803
1,19;1,898244103
1,2;1,919877362
1,21;1,941479541
1,22;1,963048634
1,23;1,984582667
1,24;2,006079697
1,25;2,027537813
1,26;2,048955133
1,27;2,07032981
1,28;2,091660022
1,29;2,112943983
1,3;2,134179933
1,31;2,155366143
1,32;2,176500915
1,33;2,197582579
1,34;2,218609495
